,Method,Scene,Length
0,R3T,0,0.45059100125554935
1,R3T,0,0.6376828727021919
2,R3T,0,0.5235499349485188
3,R3T,0,0.5644641455148942
4,R3T,0,0.6697466067263268
5,R3T,0,0.5196755539272515
6,R3T,0,2.0
7,R3T,0,0.4742554457946053
8,R3T,0,0.5975679456947188
9,R3T,0,0.6780555730040712
10,R3T,0,0.5105377362924115
11,R3T,0,0.6100266929541527
12,R3T,0,0.5357741296851085
13,R3T,0,2.0
14,R3T,0,0.6392997431025624
15,R3T,0,0.7611986821176426
16,R3T,0,0.6877979448655479
17,R3T,0,0.4505957099313791
18,R3T,0,0.4823532956092942
19,R3T,0,0.49939213114644676
20,R3T,0,0.48502531735292864
21,R3T,0,0.4898933083176802
22,R3T,0,0.5790481092833566
23,R3T,0,2.0
24,R3T,0,0.5886476769038842
25,R3T,0,0.5923592443615625
26,R3T,0,0.6544826219356515
27,R3T,0,2.0
28,R3T,0,0.47318000408620153
29,R3T,0,0.5959484779580053
30,R3T,1,0.657854753398446
31,R3T,1,0.5838647623281125
32,R3T,1,0.6905906574290782
33,R3T,1,2.0
34,R3T,1,0.9345162978169471
35,R3T,1,2.0
36,R3T,1,0.7623811103341815
37,R3T,1,0.737540714783018
38,R3T,1,0.5942149884302296
39,R3T,1,2.0
40,R3T,1,0.7433437048809377
41,R3T,1,0.6234107993499061
42,R3T,1,0.7663358327010634
43,R3T,1,0.6548516083664591
44,R3T,1,0.7848877333831604
45,R3T,1,0.6370966654687258
46,R3T,1,0.6141215463673427
47,R3T,1,0.7434613923510649
48,R3T,1,2.0
49,R3T,1,0.6430814806790356
50,R3T,1,0.698961592271461
51,R3T,1,0.6024521059143642
52,R3T,1,0.8109955761010073
53,R3T,1,0.6979158156939979
54,R3T,1,0.7525759523738624
55,R3T,1,2.0
56,R3T,1,0.6989080290153289
57,R3T,1,0.6840577236921271
58,R3T,1,0.7762088121167785
59,R3T,1,0.6631065756708153
60,R3T,2,0.6368440422719
61,R3T,2,0.4561586958007509
62,R3T,2,0.6313315763548827
63,R3T,2,0.5710439541794391
64,R3T,2,0.6117027042008815
65,R3T,2,0.5028039304825246
66,R3T,2,0.5991090352757489
67,R3T,2,0.5716743026157355
68,R3T,2,0.4952224632802403
69,R3T,2,0.5582725663510525
70,R3T,2,0.490280093764094
