,Method,Scene,Nodenum,Samplenum
0,R3T,0,172,172
1,R3T,0,244,244
2,R3T,0,99,99
3,R3T,0,216,216
4,R3T,0,230,230
5,R3T,0,245,245
6,R3T,0,0,0
7,R3T,0,83,83
8,R3T,0,900,900
9,R3T,0,258,258
10,R3T,0,105,105
11,R3T,0,185,185
12,R3T,0,123,123
13,R3T,0,0,0
14,R3T,0,198,198
15,R3T,0,203,203
16,R3T,0,183,183
17,R3T,0,83,83
18,R3T,0,750,750
19,R3T,0,57,57
20,R3T,0,381,381
21,R3T,0,147,147
22,R3T,0,99,99
23,R3T,0,0,0
24,R3T,0,99,99
25,R3T,0,110,110
26,R3T,0,191,191
27,R3T,0,0,0
28,R3T,0,74,74
29,R3T,0,404,404
30,R3T,1,256,256
31,R3T,1,279,279
32,R3T,1,197,197
33,R3T,1,0,0
34,R3T,1,265,265
35,R3T,1,0,0
36,R3T,1,447,447
37,R3T,1,212,212
38,R3T,1,150,150
39,R3T,1,0,0
40,R3T,1,612,612
41,R3T,1,159,159
42,R3T,1,310,310
43,R3T,1,203,203
44,R3T,1,230,230
45,R3T,1,184,184
46,R3T,1,256,256
47,R3T,1,195,195
48,R3T,1,0,0
49,R3T,1,243,243
50,R3T,1,139,139
51,R3T,1,250,250
52,R3T,1,288,288
53,R3T,1,263,263
54,R3T,1,1368,1368
55,R3T,1,0,0
56,R3T,1,312,312
57,R3T,1,216,216
58,R3T,1,196,196
59,R3T,1,289,289
60,R3T,2,239,239
61,R3T,2,81,81
62,R3T,2,154,154
63,R3T,2,202,202
64,R3T,2,112,112
65,R3T,2,286,286
66,R3T,2,125,125
67,R3T,2,105,105
68,R3T,2,112,112
69,R3T,2,285,285
70,R3T,2,299,299
71,R3T,2,168,168
72,R3T,2,193,193
73,R3T,2,116,116
74,R3T,2,76,76
75,R3T,2,72,72
76,R3T,2,420,420
77,R3T,2,126,126
78,R3T,2,102,102
79,R3T,2,93,93
80,R3T,2,182,182
81,R3T,2,0,0
82,R3T,2,98,98
83,R3T,2,199,199
84,R3T,2,132,132
85,R3T,2,281,281
86,R3T,2,167,167
87,R3T,2,160,160
88,R3T,2,110,110
89,R3T,2,170,170
90,R3T,3,260,260
91,R3T,3,307,307
92,R3T,3,157,157
93,R3T,3,301,301
94,R3T,3,185,185
95,R3T,3,231,231
96,R3T,3,1411,1411
97,R3T,3,0,0
98,R3T,3,1163,1163
99,R3T,3,208,208
100,R3T,3,1421,1421
101,R3T,3,407,407
102,R3T,3,153,153
103,R3T,3,149,149
104,R3T,3,205,205
105,R3T,3,238,238
106,R3T,3,151,151
107,R3T,3,175,175
108,R3T,3,264,264
109,R3T,3,197,197
110,R3T,3,811,811
111,R3T,3,197,197
112,R3T,3,169,169
113,R3T,3,231,231
114,R3T,3,169,169
115,R3T,3,241,241
116,R3T,3,153,153
117,R3T,3,276,276
118,R3T,3,187,187
119,R3T,3,154,154
120,R3T,4,87,87
121,R3T,4,149,149
122,R3T,4,122,122
123,R3T,4,140,140
124,R3T,4,155,155
125,R3T,4,193,193
126,R3T,4,109,109
127,R3T,4,107,107
128,R3T,4,118,118
129,R3T,4,99,99
130,R3T,4,113,113
131,R3T,4,150,150
132,R3T,4,110,110
133,R3T,4,128,128
134,R3T,4,132,132
135,R3T,4,95,95
136,R3T,4,324,324
137,R3T,4,160,160
138,R3T,4,86,86
139,R3T,4,124,124
140,R3T,4,235,235
141,R3T,4,110,110
142,R3T,4,179,179
143,R3T,4,237,237
144,R3T,4,121,121
145,R3T,4,127,127
146,R3T,4,166,166
147,R3T,4,146,146
148,R3T,4,127,127
149,R3T,4,353,353
150,R3T_old,0,204,204
151,R3T_old,0,200,200
152,R3T_old,0,272,272
153,R3T_old,0,169,169
154,R3T_old,0,185,185
155,R3T_old,0,331,331
156,R3T_old,0,228,228
157,R3T_old,0,295,295
158,R3T_old,0,162,162
159,R3T_old,0,808,808
160,R3T_old,0,88,88
161,R3T_old,0,237,237
162,R3T_old,0,102,102
163,R3T_old,0,247,247
164,R3T_old,0,1145,1145
165,R3T_old,0,160,160
166,R3T_old,0,107,107
167,R3T_old,0,244,244
168,R3T_old,0,218,218
169,R3T_old,0,163,163
170,R3T_old,0,226,226
171,R3T_old,0,0,0
172,R3T_old,0,367,367
173,R3T_old,0,262,262
174,R3T_old,0,75,75
175,R3T_old,0,0,0
176,R3T_old,0,113,113
