,Method,Scene,success
0,R3T,0,True
1,R3T,0,True
2,R3T,0,True
3,R3T,0,True
4,R3T,0,True
5,R3T,0,True
6,R3T,0,False
7,R3T,0,True
8,R3T,0,True
9,R3T,0,True
10,R3T,0,True
11,R3T,0,True
12,R3T,0,True
13,R3T,0,False
14,R3T,0,True
15,R3T,0,True
16,R3T,0,True
17,R3T,0,True
18,R3T,0,True
19,R3T,0,True
20,R3T,0,True
21,R3T,0,True
22,R3T,0,True
23,R3T,0,False
24,R3T,0,True
25,R3T,0,True
26,R3T,0,True
27,R3T,0,False
28,R3T,0,True
29,R3T,0,True
30,R3T,1,True
31,R3T,1,True
32,R3T,1,True
33,R3T,1,False
34,R3T,1,True
35,R3T,1,False
36,R3T,1,True
37,R3T,1,True
38,R3T,1,True
39,R3T,1,False
40,R3T,1,True
41,R3T,1,True
42,R3T,1,True
43,R3T,1,True
44,R3T,1,True
45,R3T,1,True
46,R3T,1,True
47,R3T,1,True
48,R3T,1,False
49,R3T,1,True
50,R3T,1,True
51,R3T,1,True
52,R3T,1,True
53,R3T,1,True
54,R3T,1,True
55,R3T,1,False
56,R3T,1,True
57,R3T,1,True
58,R3T,1,True
59,R3T,1,True
60,R3T,2,True
61,R3T,2,True
62,R3T,2,True
63,R3T,2,True
64,R3T,2,True
65,R3T,2,True
66,R3T,2,True
67,R3T,2,True
68,R3T,2,True
69,R3T,2,True
70,R3T,2,True
71,R3T,2,True
72,R3T,2,True
73,R3T,2,True
74,R3T,2,True
75,R3T,2,True
76,R3T,2,True
77,R3T,2,True
78,R3T,2,True
79,R3T,2,True
80,R3T,2,True
81,R3T,2,False
82,R3T,2,True
83,R3T,2,True
84,R3T,2,True
85,R3T,2,True
86,R3T,2,True
87,R3T,2,True
88,R3T,2,True
89,R3T,2,True
90,R3T,3,True
91,R3T,3,True
92,R3T,3,True
93,R3T,3,True
94,R3T,3,True
95,R3T,3,True
96,R3T,3,True
97,R3T,3,False
98,R3T,3,True
99,R3T,3,True
100,R3T,3,True
101,R3T,3,True
102,R3T,3,True
103,R3T,3,True
104,R3T,3,True
105,R3T,3,True
106,R3T,3,True
107,R3T,3,True
108,R3T,3,True
109,R3T,3,True
110,R3T,3,True
111,R3T,3,True
112,R3T,3,True
113,R3T,3,True
114,R3T,3,True
115,R3T,3,True
116,R3T,3,True
117,R3T,3,True
118,R3T,3,True
119,R3T,3,True
120,R3T,4,True
121,R3T,4,True
122,R3T,4,True
123,R3T,4,True
124,R3T,4,True
125,R3T,4,True
126,R3T,4,True
127,R3T,4,True
128,R3T,4,True
129,R3T,4,True
130,R3T,4,True
131,R3T,4,True
132,R3T,4,True
133,R3T,4,True
134,R3T,4,True
135,R3T,4,True
136,R3T,4,True
137,R3T,4,True
138,R3T,4,True
139,R3T,4,True
140,R3T,4,True
141,R3T,4,True
142,R3T,4,True
143,R3T,4,True
144,R3T,4,True
145,R3T,4,True
146,R3T,4,True
147,R3T,4,True
148,R3T,4,True
149,R3T,4,True
150,R3T_old,0,True
151,R3T_old,0,True
152,R3T_old,0,True
153,R3T_old,0,True
154,R3T_old,0,True
155,R3T_old,0,True
156,R3T_old,0,True
157,R3T_old,0,True
158,R3T_old,0,True
159,R3T_old,0,True
160,R3T_old,0,True
161,R3T_old,0,True
162,R3T_old,0,True
163,R3T_old,0,True
